speakerid|speech_id|lastname|firstname|chamber|state|gender|party|district|nonvoting
114120480|1140000007|MCMORRIS RODGERS|CATHY|H|WA|F|R|5|voting
114118560|1140000009|BECERRA|XAVIER|H|CA|M|D|34|voting
114121890|1140000011|MASSIE|THOMAS|H|KY|M|R|4|voting
114122500|1140000013|BRIDENSTINE|JIM|H|OK|M|R|1|voting
114120780|1140000017|PELOSI|NANCY|H|CA|F|D|12|voting
114118060|1140000018|BOEHNER|JOHN|H|OH|M|R|8|voting
114119030|1140000019|CONYERS|JOHN|H|MI|M|D|13|voting
114119030|1140000020|CONYERS|JOHN|H|MI|M|D|13|voting
114118560|1140000024|BECERRA|XAVIER|H|CA|M|D|34|voting
114118560|1140000026|BECERRA|XAVIER|H|CA|M|D|34|voting
114118560|1140000029|BECERRA|XAVIER|H|CA|M|D|34|voting
114118560|1140000031|BECERRA|XAVIER|H|CA|M|D|34|voting
114120400|1140000037|MCCARTHY|KEVIN|H|CA|M|R|23|voting
114120400|1140000038|MCCARTHY|KEVIN|H|CA|M|R|23|voting
114120220|1140000040|LEWIS|JOHN|H|GA|M|D|5|voting
114120400|1140000041|MCCARTHY|KEVIN|H|CA|M|R|23|voting
114120400|1140000042|MCCARTHY|KEVIN|H|CA|M|R|23|voting
114120680|1140000044|NORTON|ELEANOR|H|DC|F|D|0|nonvoting
114120400|1140000046|MCCARTHY|KEVIN|H|CA|M|R|23|voting
114120680|1140000049|NORTON|ELEANOR|H|DC|F|D|0|nonvoting
114123080|1140000051|TROTT|DAVE|H|MI|M|R|11|voting
114123330|1140000052|GROTHMAN|GLENN|H|WI|M|R|6|voting
114123160|1140000053|WATSON COLEMAN|BONNIE|H|NJ|F|D|12|voting
114120400|1140000056|MCCARTHY|KEVIN|H|CA|M|R|23|voting
114120400|1140000062|MCCARTHY|KEVIN|H|CA|M|R|23|voting
114121410|1140000065|SLAUGHTER|LOUISE|H|NY|F|D|25|voting
114121410|1140000066|SLAUGHTER|LOUISE|H|NY|F|D|25|voting
114121410|1140000068|SLAUGHTER|LOUISE|H|NY|F|D|25|voting
114119830|1140000069|HOYER|STENY|H|MD|M|D|5|voting
114121410|1140000071|SLAUGHTER|LOUISE|H|NY|F|D|25|voting
114121620|1140000072|VAN HOLLEN|CHRIS|H|MD|M|D|8|voting
114121410|1140000074|SLAUGHTER|LOUISE|H|NY|F|D|25|voting
114121620|1140000075|VAN HOLLEN|CHRIS|H|MD|M|D|8|voting
114121410|1140000077|SLAUGHTER|LOUISE|H|NY|F|D|25|voting
114119180|1140000078|DELAURO|ROSA|H|CT|F|D|3|voting
114121410|1140000080|SLAUGHTER|LOUISE|H|NY|F|D|25|voting
114118960|1140000081|CLYBURN|JAMES|H|SC|M|D|6|voting
114121410|1140000083|SLAUGHTER|LOUISE|H|NY|F|D|25|voting
114120450|1140000084|MCGOVERN|JAMES|H|MA|M|D|2|voting
114121410|1140000086|SLAUGHTER|LOUISE|H|NY|F|D|25|voting
114119240|1140000087|DOGGETT|LLOYD|H|TX|M|D|35|voting
114121410|1140000090|SLAUGHTER|LOUISE|H|NY|F|D|25|voting
114118560|1140000091|BECERRA|XAVIER|H|CA|M|D|34|voting
114121410|1140000093|SLAUGHTER|LOUISE|H|NY|F|D|25|voting
114120210|1140000094|LEVIN|SANDER|H|MI|M|D|9|voting
114121410|1140000096|SLAUGHTER|LOUISE|H|NY|F|D|25|voting
114121410|1140000098|SLAUGHTER|LOUISE|H|NY|F|D|25|voting
114120780|1140000099|PELOSI|NANCY|H|CA|F|D|12|voting
114121410|1140000101|SLAUGHTER|LOUISE|H|NY|F|D|25|voting
114119900|1140000102|ISRAEL|STEVE|H|NY|M|D|3|voting
114119550|1140000104|GOODLATTE|BOB|H|VA|M|R|6|voting
114121410|1140000105|SLAUGHTER|LOUISE|H|NY|F|D|25|voting
114121410|1140000107|SLAUGHTER|LOUISE|H|NY|F|D|25|voting
114121410|1140000109|SLAUGHTER|LOUISE|H|NY|F|D|25|voting
114121410|1140000113|SLAUGHTER|LOUISE|H|NY|F|D|25|voting
114121900|1140000116|PAYNE|DONALD|H|NJ|M|D|10|voting
114121620|1140000117|VAN HOLLEN|CHRIS|H|MD|M|D|8|voting
114121620|1140000123|VAN HOLLEN|CHRIS|H|MD|M|D|8|voting
114121410|1140000125|SLAUGHTER|LOUISE|H|NY|F|D|25|voting
114119180|1140000126|DELAURO|ROSA|H|CT|F|D|3|voting
114119220|1140000127|DEUTCH|THEODORE|H|FL|M|D|21|voting
114123160|1140000128|WATSON COLEMAN|BONNIE|H|NJ|F|D|12|voting
114118560|1140000132|BECERRA|XAVIER|H|CA|M|D|34|voting
114118560|1140000133|BECERRA|XAVIER|H|CA|M|D|34|voting
114118560|1140000135|BECERRA|XAVIER|H|CA|M|D|34|voting
114120210|1140000143|LEVIN|SANDER|H|MI|M|D|9|voting
114120210|1140000146|LEVIN|SANDER|H|MI|M|D|9|voting
114122180|1140000147|GABBARD|TULSI|H|HI|F|D|2|voting
114122220|1140000149|WALORSKI|JACKIE|H|IN|F|R|2|voting
114120210|1140000150|LEVIN|SANDER|H|MI|M|D|9|voting
114120210|1140000154|LEVIN|SANDER|H|MI|M|D|9|voting
114120210|1140000156|LEVIN|SANDER|H|MI|M|D|9|voting
114118890|1140000158|CHABOT|STEVE|H|OH|M|R|1|voting
114120210|1140000159|LEVIN|SANDER|H|MI|M|D|9|voting
114118620|1140000161|BLACK|DIANE|H|TN|F|R|6|voting
114120210|1140000162|LEVIN|SANDER|H|MI|M|D|9|voting
114120210|1140000164|LEVIN|SANDER|H|MI|M|D|9|voting
114120160|1140000169|LARSON|JOHN|H|CT|M|D|1|voting
114120400|1140000171|MCCARTHY|KEVIN|H|CA|M|R|23|voting
114120400|1140000173|MCCARTHY|KEVIN|H|CA|M|R|23|voting
114120400|1140000175|MCCARTHY|KEVIN|H|CA|M|R|23|voting
114120400|1140000177|MCCARTHY|KEVIN|H|CA|M|R|23|voting
114121060|1140000186|ROKITA|TODD|H|IN|M|R|4|voting
114122500|1140000187|BRIDENSTINE|JIM|H|OK|M|R|1|voting
114122401|1140000202|FISCHER|DEB|S|NE|F|R||voting
114118441|1140000207|WARNER|MARK|S|VA|M|D||voting
114118361|1140000210|MCCONNELL|MITCH|S|KY|M|R||voting
114118321|1140000214|DURBIN|RICHARD|S|IL|M|D||voting
114118361|1140000215|MCCONNELL|MITCH|S|KY|M|R||voting
114118361|1140000218|MCCONNELL|MITCH|S|KY|M|R||voting
114118321|1140000219|DURBIN|RICHARD|S|IL|M|D||voting
114118361|1140000221|MCCONNELL|MITCH|S|KY|M|R||voting
114118361|1140000224|MCCONNELL|MITCH|S|KY|M|R||voting
114118321|1140000225|DURBIN|RICHARD|S|IL|M|D||voting
114118361|1140000226|MCCONNELL|MITCH|S|KY|M|R||voting
114118361|1140000229|MCCONNELL|MITCH|S|KY|M|R||voting
114118321|1140000230|DURBIN|RICHARD|S|IL|M|D||voting
114118361|1140000233|MCCONNELL|MITCH|S|KY|M|R||voting
114118361|1140000236|MCCONNELL|MITCH|S|KY|M|R||voting
114118321|1140000237|DURBIN|RICHARD|S|IL|M|D||voting
114118361|1140000238|MCCONNELL|MITCH|S|KY|M|R||voting
114118361|1140000241|MCCONNELL|MITCH|S|KY|M|R||voting
114118321|1140000242|DURBIN|RICHARD|S|IL|M|D||voting
114118361|1140000243|MCCONNELL|MITCH|S|KY|M|R||voting
114118361|1140000246|MCCONNELL|MITCH|S|KY|M|R||voting
114118321|1140000247|DURBIN|RICHARD|S|IL|M|D||voting
114118361|1140000248|MCCONNELL|MITCH|S|KY|M|R||voting
114118361|1140000251|MCCONNELL|MITCH|S|KY|M|R||voting
114118321|1140000252|DURBIN|RICHARD|S|IL|M|D||voting
114118361|1140000253|MCCONNELL|MITCH|S|KY|M|R||voting
114118361|1140000256|MCCONNELL|MITCH|S|KY|M|R||voting
114118321|1140000257|DURBIN|RICHARD|S|IL|M|D||voting
114118361|1140000258|MCCONNELL|MITCH|S|KY|M|R||voting
114118361|1140000261|MCCONNELL|MITCH|S|KY|M|R||voting
114118361|1140000264|MCCONNELL|MITCH|S|KY|M|R||voting
114118321|1140000265|DURBIN|RICHARD|S|IL|M|D||voting
114118361|1140000266|MCCONNELL|MITCH|S|KY|M|R||voting
114118361|1140000269|MCCONNELL|MITCH|S|KY|M|R||voting
114118321|1140000270|DURBIN|RICHARD|S|IL|M|D||voting
114118361|1140000271|MCCONNELL|MITCH|S|KY|M|R||voting
114118361|1140000274|MCCONNELL|MITCH|S|KY|M|R||voting
114118321|1140000275|DURBIN|RICHARD|S|IL|M|D||voting
114118361|1140000276|MCCONNELL|MITCH|S|KY|M|R||voting
114118361|1140000279|MCCONNELL|MITCH|S|KY|M|R||voting
114118321|1140000280|DURBIN|RICHARD|S|IL|M|D||voting
114118361|1140000281|MCCONNELL|MITCH|S|KY|M|R||voting
114118361|1140000284|MCCONNELL|MITCH|S|KY|M|R||voting
114118321|1140000285|DURBIN|RICHARD|S|IL|M|D||voting
114118321|1140000286|DURBIN|RICHARD|S|IL|M|D||voting
114118321|1140000289|DURBIN|RICHARD|S|IL|M|D||voting
114118361|1140000290|MCCONNELL|MITCH|S|KY|M|R||voting
114118361|1140000293|MCCONNELL|MITCH|S|KY|M|R||voting
114118321|1140000294|DURBIN|RICHARD|S|IL|M|D||voting
114118361|1140000297|MCCONNELL|MITCH|S|KY|M|R||voting
114118321|1140000298|DURBIN|RICHARD|S|IL|M|D||voting
114118361|1140000299|MCCONNELL|MITCH|S|KY|M|R||voting
114118361|1140000301|MCCONNELL|MITCH|S|KY|M|R||voting
114118321|1140000303|DURBIN|RICHARD|S|IL|M|D||voting
114118361|1140000304|MCCONNELL|MITCH|S|KY|M|R||voting
114118321|1140000306|DURBIN|RICHARD|S|IL|M|D||voting
114118361|1140000308|MCCONNELL|MITCH|S|KY|M|R||voting
114118171|1140000309|HATCH|ORRIN|S|UT|M|R||voting
114120181|1140000310|LEAHY|PATRICK|S|VT|M|D||voting
114118161|1140000311|FEINSTEIN|DIANNE|S|CA|F|D||voting
114118161|1140000312|FEINSTEIN|DIANNE|S|CA|F|D||voting
114118161|1140000313|FEINSTEIN|DIANNE|S|CA|F|D||voting
114118161|1140000314|FEINSTEIN|DIANNE|S|CA|F|D||voting
114118161|1140000316|FEINSTEIN|DIANNE|S|CA|F|D||voting
114118161|1140000317|FEINSTEIN|DIANNE|S|CA|F|D||voting
114120961|1140000320|REID|HARRY|S|NV|M|D||voting
114120961|1140000321|REID|HARRY|S|NV|M|D||voting
114118201|1140000322|MENENDEZ|ROBERT|S|NJ|M|D||voting
114118361|1140000323|MCCONNELL|MITCH|S|KY|M|R||voting
114118361|1140000325|MCCONNELL|MITCH|S|KY|M|R||voting
114118361|1140000327|MCCONNELL|MITCH|S|KY|M|R||voting
114118361|1140000329|MCCONNELL|MITCH|S|KY|M|R||voting
114118361|1140000331|MCCONNELL|MITCH|S|KY|M|R||voting
114118361|1140000333|MCCONNELL|MITCH|S|KY|M|R||voting
114118361|1140000335|MCCONNELL|MITCH|S|KY|M|R||voting
114118361|1140000337|MCCONNELL|MITCH|S|KY|M|R||voting
114118361|1140000339|MCCONNELL|MITCH|S|KY|M|R||voting
114118361|1140000341|MCCONNELL|MITCH|S|KY|M|R||voting
114118431|1140000343|UDALL|TOM|S|NM|M|D||voting
114118431|1140000345|UDALL|TOM|S|NM|M|D||voting
114118431|1140000347|UDALL|TOM|S|NM|M|D||voting
114118431|1140000349|UDALL|TOM|S|NM|M|D||voting
114118431|1140000351|UDALL|TOM|S|NM|M|D||voting
114118371|1140000353|MERKLEY|JEFF|S|OR|M|D||voting
114121080|1140000387|ROS-LEHTINEN|ILEANA|H|FL|F|R|27|voting
114118640|1140000389|BLUMENAUER|EARL|H|OR|M|D|3|voting
114120820|1140000393|PIERLUISI|PEDRO|H|PR|M|D|0|nonvoting
114121850|1140000406|HAHN|JANICE|H|CA|F|D|44|voting
114123130|1140000407|ROUZER|DAVID|H|NC|M|R|7|voting
114118920|1140000408|CICILLINE|DAVID|H|RI|M|D|1|voting
114123050|1140000409|POLIQUIN|BRUCE|H|ME|M|R|2|voting
114120920|1140000410|QUIGLEY|MIKE|H|IL|M|D|5|voting
114122240|1140000411|MESSER|LUKE|H|IN|M|R|6|voting
114119770|1140000412|HIGGINS|BRIAN|H|NY|M|D|26|voting
114118590|1140000413|BILIRAKIS|GUS|H|FL|M|R|12|voting
114120680|1140000414|NORTON|ELEANOR|H|DC|F|D|0|nonvoting
114119190|1140000415|DENHAM|JEFF|H|CA|M|R|10|voting
114122410|1140000416|KUSTER|ANN|H|NH|F|D|2|voting
114121080|1140000417|ROS-LEHTINEN|ILEANA|H|FL|F|R|27|voting
114119450|1140000419|FOXX|VIRGINIA|H|NC|F|R|5|voting
114119020|1140000421|CONNOLLY|GERALD|H|VA|M|D|11|voting
114119010|1140000422|CONAWAY|K.|H|TX|M|R|11|voting
114120660|1140000425|NEUGEBAUER|RANDY|H|TX|M|R|19|voting
114120660|1140000428|NEUGEBAUER|RANDY|H|TX|M|R|19|voting
114120660|1140000430|NEUGEBAUER|RANDY|H|TX|M|R|19|voting
114120660|1140000433|NEUGEBAUER|RANDY|H|TX|M|R|19|voting
114120660|1140000434|NEUGEBAUER|RANDY|H|TX|M|R|19|voting
114119010|1140000435|CONAWAY|K.|H|TX|M|R|11|voting
114120660|1140000436|NEUGEBAUER|RANDY|H|TX|M|R|19|voting
114120660|1140000440|NEUGEBAUER|RANDY|H|TX|M|R|19|voting
114118830|1140000443|CAPUANO|MICHAEL|H|MA|M|D|7|voting
114120660|1140000444|NEUGEBAUER|RANDY|H|TX|M|R|19|voting
114121480|1140000445|STUTZMAN|MARLIN|H|IN|M|R|3|voting
114119830|1140000447|HOYER|STENY|H|MD|M|D|5|voting
114120660|1140000448|NEUGEBAUER|RANDY|H|TX|M|R|19|voting
114122800|1140000449|GUINTA|FRANK|H|NH|M|R|1|voting
114121630|1140000451|VELAZQUEZ|NYDIA|H|NY|F|D|7|voting
114120660|1140000452|NEUGEBAUER|RANDY|H|TX|M|R|19|voting
